,年[西暦],年[和暦],月,市・区名,人口総数[人],男[人],女[人],世帯数[世帯]
1,2016,平成28,1,新潟市,802373,386295,416078,331031
2,2016,平成28,1,北区,76185,37178,39007,28322
3,2016,平成28,1,東区,138574,66878,71696,59683
4,2016,平成28,1,中央区,176803,84101,92702,85217
5,2016,平成28,1,江南区,69318,33639,35679,26285
6,2016,平成28,1,秋葉区,77975,37369,40606,29074
7,2016,平成28,1,南区,46131,22451,23680,15551
8,2016,平成28,1,西区,157985,76010,81975,66785
9,2016,平成28,1,西蒲区,59402,28669,30733,20114
1,2016,平成28,2,新潟市,801739,386020,415719,330875
2,2016,平成28,2,北区,76131,37151,38980,28329
3,2016,平成28,2,東区,138496,66845,71651,59671
4,2016,平成28,2,中央区,176603,84021,92582,85126
5,2016,平成28,2,江南区,69329,33651,35678,26334
6,2016,平成28,2,秋葉区,77915,37348,40567,29061
7,2016,平成28,2,南区,46116,22446,23670,15568
8,2016,平成28,2,西区,157794,75914,81880,66670
9,2016,平成28,2,西蒲区,59355,28644,30711,20116
1,2016,平成28,3,新潟市,799345,384629,414716,330885
2,2016,平成28,3,北区,75868,37030,38838,28306
3,2016,平成28,3,東区,138118,66665,71453,59743
4,2016,平成28,3,中央区,175919,83556,92363,85112
5,2016,平成28,3,江南区,69214,33580,35634,26396
6,2016,平成28,3,秋葉区,77760,37253,40507,29081
7,2016,平成28,3,南区,46007,22386,23621,15612
8,2016,平成28,3,西区,157244,75582,81662,66491
9,2016,平成28,3,西蒲区,59215,28577,30638,20144
1,2016,平成28,4,新潟市,801047,385669,415378,332538
2,2016,平成28,4,北区,75989,37088,38901,28467
3,2016,平成28,4,東区,138278,66767,71511,59922
4,2016,平成28,4,中央区,176877,84123,92754,85816
5,2016,平成28,4,江南区,69282,33617,35665,26439
6,2016,平成28,4,秋葉区,77777,37279,40498,29132
7,2016,平成28,4,南区,45934,22337,23597,15613
8,2016,平成28,4,西区,157732,75885,81847,66981
9,2016,平成28,4,西蒲区,59178,28573,30605,20168
1,2016,平成28,5,新潟市,800986,385718,415268,332756
2,2016,平成28,5,北区,75938,37077,38861,28490
3,2016,平成28,5,東区,138339,66786,71553,59984
4,2016,平成28,5,中央区,176865,84174,92691,85865
5,2016,平成28,5,江南区,69288,33614,35674,26451
6,2016,平成28,5,秋葉区,77787,37295,40492,29158
7,2016,平成28,5,南区,45913,22326,23587,15612
8,2016,平成28,5,西区,157725,75885,81840,67012
9,2016,平成28,5,西蒲区,59131,28561,30570,20184
1,2016,平成28,6,新潟市,800779,385611,415168,332924
2,2016,平成28,6,北区,75874,37030,38844,28498
3,2016,平成28,6,東区,138350,66796,71554,60001
4,2016,平成28,6,中央区,176811,84140,92671,85889
5,2016,平成28,6,江南区,69305,33632,35673,26475
6,2016,平成28,6,秋葉区,77749,37280,40469,29177
7,2016,平成28,6,南区,45895,22310,23585,15621
8,2016,平成28,6,西区,157743,75894,81849,67061
9,2016,平成28,6,西蒲区,59052,28529,30523,20202
1,2016,平成28,7,新潟市,800719,385614,415105,333059
2,2016,平成28,7,北区,75908,37075,38833,28567
3,2016,平成28,7,東区,138314,66783,71531,60026
4,2016,平成28,7,中央区,176749,84108,92641,85864
5,2016,平成28,7,江南区,69354,33648,35706,26489
6,2016,平成28,7,秋葉区,77754,37290,40464,29208
7,2016,平成28,7,南区,45869,22303,23566,15648
8,2016,平成28,7,西区,157738,75896,81842,67055
9,2016,平成28,7,西蒲区,59033,28511,30522,20202
1,2016,平成28,8,新潟市,800458,385535,414923,333117
2,2016,平成28,8,北区,75875,37069,38806,28575
3,2016,平成28,8,東区,138348,66796,71552,60087
4,2016,平成28,8,中央区,176777,84114,92663,85884
5,2016,平成28,8,江南区,69287,33627,35660,26480
6,2016,平成28,8,秋葉区,77774,37307,40467,29231
7,2016,平成28,8,南区,45823,22291,23532,15656
8,2016,平成28,8,西区,157592,75837,81755,66993
9,2016,平成28,8,西蒲区,58982,28494,30488,20211
1,2016,平成28,9,新潟市,800318,385443,414875,333296
2,2016,平成28,9,北区,75903,37087,38816,28617
3,2016,平成28,9,東区,138306,66772,71534,60115
4,2016,平成28,9,中央区,176679,84067,92612,85838
5,2016,平成28,9,江南区,69259,33614,35645,26490
6,2016,平成28,9,秋葉区,77748,37292,40456,29238
7,2016,平成28,9,南区,45815,22288,23527,15673
8,2016,平成28,9,西区,157662,75838,81824,67098
9,2016,平成28,9,西蒲区,58946,28485,30461,20227
1,2016,平成28,10,新潟市,800413,385522,414891,333607
2,2016,平成28,10,北区,75896,37080,38816,28627
3,2016,平成28,10,東区,138276,66749,71527,60118
4,2016,平成28,10,中央区,176799,84157,92642,85996
5,2016,平成28,10,江南区,69260,33619,35641,26495
6,2016,平成28,10,秋葉区,77768,37286,40482,29268
7,2016,平成28,10,南区,45807,22289,23518,15683
8,2016,平成28,10,西区,157698,75877,81821,67176
9,2016,平成28,10,西蒲区,58909,28465,30444,20244
1,2016,平成28,11,新潟市,800248,385416,414832,333730
2,2016,平成28,11,北区,75840,37069,38771,28645
3,2016,平成28,11,東区,138323,66765,71558,60137
4,2016,平成28,11,中央区,176665,84068,92597,85979
5,2016,平成28,11,江南区,69268,33629,35639,26527
6,2016,平成28,11,秋葉区,77784,37305,40479,29285
7,2016,平成28,11,南区,45801,22280,23521,15697
8,2016,平成28,11,西区,157706,75861,81845,67225
9,2016,平成28,11,西蒲区,58861,28439,30422,20235
1,2016,平成28,12,新潟市,800004,385304,414700,333780
2,2016,平成28,12,北区,75778,37055,38723,28636
3,2016,平成28,12,東区,138292,66752,71540,60132
4,2016,平成28,12,中央区,176582,84022,92560,85927
5,2016,平成28,12,江南区,69325,33650,35675,26580
6,2016,平成28,12,秋葉区,77792,37308,40484,29331
7,2016,平成28,12,南区,45773,22263,23510,15710
8,2016,平成28,12,西区,157684,75842,81842,67236
9,2016,平成28,12,西蒲区,58778,28412,30366,20228
